, ,1,2,3,4,5,6,7,8,9,10,11,12,13.0000,14,15,16,17.0000,18,19,20.0000,21,22,23.0000,24,25,26.0000,,
,,,ID SP,DESCRIPTION,FUEL,CD GZ,MPAN,METER CATEGORY,ETFV DT,RATE CD,RATE,SC DESCRIPTION,SC EX VAT,SC INC VAT,Change,UR1 DESCRIPTION,UR 1 EX VAT,UR 1 INC VAT,UR2 DESCRIPTION,UR 2 EX VAT,UR 2 INC VAT,UR3 DESCRIPTION,UR 3 EX VAT,UR 3 INC VAT,UR4 DESCRIPTION,UR 4 EX VAT,UR 4 INC VAT,,RATE TYPE
1,Economy 7_L,Economy 7_L1,,Economy 7,Electric,_L,,Economy 7,,,Direct Debit,Standing Charge,0.5213,0.547365,,Peak,0.2887,0.303135,Off peak ,0.1959,0.205695,,,,,,,,Live Run SVT Direct Debit 
1,Economy 7_M,Economy 7_M1,,Economy 7,Electric,_M,,Economy 7,,,Direct Debit,Standing Charge,0.5560,0.583800,,Peak,0.2668,0.280140,Off peak ,0.2006,0.210630,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_A,Economy 10_A1,,Economy 10,Electric,_A,,Economy 10,,,Direct Debit,Standing Charge,0.4664,0.489720,,Peak,0.2811,0.295155,Off peak ,0.2150,0.225750,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_B,Economy 10_B1,,Economy 10,Electric,_B,,Economy 10,,,Direct Debit,Standing Charge,0.4675,0.490875,,Peak,0.2705,0.284025,Off peak ,0.2094,0.219870,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_C,Economy 10_C1,,Economy 10,Electric,_C,,Economy 10,,,Direct Debit,Standing Charge,0.4383,0.460215,,Peak,0.2648,0.278040,Off peak ,0.2170,0.227850,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_D,Economy 10_D1,,Economy 10,Electric,_D,,Economy 10,,,Direct Debit,Standing Charge,0.6590,0.691950,,Peak,0.2918,0.306390,Off peak ,0.2234,0.234570,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_E,Economy 10_E1,,Economy 10,Electric,_E,,Economy 10,,,Direct Debit,Standing Charge,0.5052,0.530460,,Peak,0.2695,0.282975,Off peak ,0.2126,0.223230,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_F,Economy 10_F1,,Economy 10,Electric,_F,,Economy 10,,,Direct Debit,Standing Charge,0.5660,0.594300,,Peak,0.2673,0.280665,Off peak ,0.2105,0.221025,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_G,Economy 10_G1,,Economy 10,Electric,_G,,Economy 10,,,Direct Debit,Standing Charge,0.4856,0.509880,,Peak,0.2871,0.301455,Off peak ,0.2170,0.227850,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_P,Economy 10_P1,,Economy 10,Electric,_P,,Economy 10,,,Direct Debit,Standing Charge,0.5873,0.616665,,Peak,0.2763,0.290115,Off peak ,0.2122,0.222810,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_N,Economy 10_N1,,Economy 10,Electric,_N,,Economy 10,,,Direct Debit,Standing Charge,0.5456,0.572880,,Peak,0.2651,0.278355,Off peak ,0.2030,0.213150,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_J,Economy 10_J1,,Economy 10,Electric,_J,,Economy 10,,,Direct Debit,Standing Charge,0.4604,0.483420,,Peak,0.2871,0.301455,Off peak ,0.2143,0.225015,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_H,Economy 10_H1,,Economy 10,Electric,_H,,Economy 10,,,Direct Debit,Standing Charge,0.4315,0.453075,,Peak,0.2802,0.294210,Off peak ,0.2140,0.224700,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_K,Economy 10_K1,,Economy 10,Electric,_K,,Economy 10,,,Direct Debit,Standing Charge,0.4880,0.512400,,Peak,0.2886,0.303030,Off peak ,0.2122,0.222810,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_L,Economy 10_L1,,Economy 10,Electric,_L,,Economy 10,,,Direct Debit,Standing Charge,0.5213,0.547365,,Peak,0.2917,0.306285,Off peak ,0.2078,0.218190,,,,,,,,Live Run SVT Direct Debit 
1,Economy 10_M,Economy 10_M1,,Economy 10,Electric,_M,,Economy 10,,,Direct Debit,Standing Charge,0.5560,0.583800,,Peak,0.2633,0.276465,Off peak ,0.2147,0.225435,,,,,,,,Live Run SVT Direct Debit 
1,Domestic Economy_P,Domestic Economy_P1,,Domestic Economy,Electric,_P,,Domestic Economy,,,Direct Debit,Standing Charge,0.5873,0.616665,,Peak,0.2822,0.296310,Off peak ,0.1919,0.201495,,,,,,,,Live Run SVT Direct Debit 
1,Domestic Economy_N,Domestic Economy_N1,,Domestic Economy,Electric,_N,,Domestic Economy,,,Direct Debit,Standing Charge,0.5456,0.572880,,Peak,0.2692,0.282660,Off peak ,0.1856,0.194880,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_A,Smart Economy 9_A1,,Smart Economy 9,Electric,_A,,Smart Economy 9,,,Direct Debit,Standing Charge,0.4664,0.489720,,Peak,0.2933,0.307965,Off peak ,0.2166,0.227430,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_B,Smart Economy 9_B1,,Smart Economy 9,Electric,_B,,Smart Economy 9,,,Direct Debit,Standing Charge,0.4675,0.490875,,Peak,0.2798,0.293790,Off peak ,0.2123,0.222915,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_C,Smart Economy 9_C1,,Smart Economy 9,Electric,_C,,Smart Economy 9,,,Direct Debit,Standing Charge,0.4383,0.460215,,Peak,0.2669,0.280245,Off peak ,0.2229,0.234045,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_D,Smart Economy 9_D1,,Smart Economy 9,Electric,_D,,Smart Economy 9,,,Direct Debit,Standing Charge,0.6590,0.691950,,Peak,0.3003,0.315315,Off peak ,0.2279,0.239295,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_E,Smart Economy 9_E1,,Smart Economy 9,Electric,_E,,Smart Economy 9,,,Direct Debit,Standing Charge,0.5052,0.530460,,Peak,0.2790,0.292950,Off peak ,0.2147,0.225435,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_F,Smart Economy 9_F1,,Smart Economy 9,Electric,_F,,Smart Economy 9,,,Direct Debit,Standing Charge,0.5660,0.594300,,Peak,0.2768,0.290640,Off peak ,0.2126,0.223230,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_G,Smart Economy 9_G1,,Smart Economy 9,Electric,_G,,Smart Economy 9,,,Direct Debit,Standing Charge,0.4856,0.509880,,Peak,0.3003,0.315315,Off peak ,0.2185,0.229425,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_P,Smart Economy 9_P1,,Smart Economy 9,Electric,_P,,Smart Economy 9,,,Direct Debit,Standing Charge,0.5873,0.616665,,Peak,0.2863,0.300615,Off peak ,0.2151,0.225855,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_N,Smart Economy 9_N1,,Smart Economy 9,Electric,_N,,Smart Economy 9,,,Direct Debit,Standing Charge,0.5456,0.572880,,Peak,0.2735,0.287175,Off peak ,0.2067,0.217035,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_J,Smart Economy 9_J1,,Smart Economy 9,Electric,_J,,Smart Economy 9,,,Direct Debit,Standing Charge,0.4604,0.483420,,Peak,0.3023,0.317415,Off peak ,0.2149,0.225645,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_H,Smart Economy 9_H1,,Smart Economy 9,Electric,_H,,Smart Economy 9,,,Direct Debit,Standing Charge,0.4315,0.453075,,Peak,0.2890,0.303450,Off peak ,0.2180,0.228900,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_K,Smart Economy 9_K1,,Smart Economy 9,Electric,_K,,Smart Economy 9,,,Direct Debit,Standing Charge,0.4880,0.512400,,Peak,0.2970,0.311850,Off peak ,0.2180,0.228900,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_L,Smart Economy 9_L1,,Smart Economy 9,Electric,_L,,Smart Economy 9,,,Direct Debit,Standing Charge,0.5213,0.547365,,Peak,0.3019,0.316995,Off peak ,0.2135,0.224175,,,,,,,,Live Run SVT Direct Debit 
1,Smart Economy 9_M,Smart Economy 9_M1,,Smart Economy 9,Electric,_M,,Smart Economy 9,,,Direct Debit,Standing Charge,0.5560,0.583800,,Peak,0.2705,0.284025,Off peak ,0.2171,0.227955,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_A,2 Rate_A1,,2 Rate,Electric,_A,,2 Rate,,,Direct Debit,Standing Charge,0.4664,0.489720,,Peak,0.2888,0.303240,Off peak ,0.1982,0.208110,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_B,2 Rate_B1,,2 Rate,Electric,_B,,2 Rate,,,Direct Debit,Standing Charge,0.4675,0.490875,,Peak,0.2777,0.291585,Off peak ,0.1939,0.203595,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_C,2 Rate_C1,,2 Rate,Electric,_C,,2 Rate,,,Direct Debit,Standing Charge,0.4383,0.460215,,Peak,0.2713,0.284865,Off peak ,0.2038,0.213990,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_D,2 Rate_D1,,2 Rate,Electric,_D,,2 Rate,,,Direct Debit,Standing Charge,0.6590,0.691950,,Peak,0.2998,0.314790,Off peak ,0.2060,0.216300,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_E,2 Rate_E1,,2 Rate,Electric,_E,,2 Rate,,,Direct Debit,Standing Charge,0.5052,0.530460,,Peak,0.2750,0.288750,Off peak ,0.1996,0.209580,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_F,2 Rate_F1,,2 Rate,Electric,_F,,2 Rate,,,Direct Debit,Standing Charge,0.5660,0.594300,,Peak,0.2726,0.286230,Off peak ,0.1977,0.207585,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_G,2 Rate_G1,,2 Rate,Electric,_G,,2 Rate,,,Direct Debit,Standing Charge,0.4856,0.509880,,Peak,0.2970,0.311850,Off peak ,0.1971,0.206955,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_P,2 Rate_P1,,2 Rate,Electric,_P,,2 Rate,,,Direct Debit,Standing Charge,0.5873,0.616665,,Peak,0.2834,0.297570,Off peak ,0.1965,0.206325,,,,,,,,Live Run SVT Direct Debit 
1,2 Rate_N,2 Rate_N1,,2 Rate,Electric,_N,,2 Rate,,,Direct Debit,Standing Charge,0.5456,0.572880,,Peak,0.2704,0.283920,Off peak ,0.1897,0.199185,,,,,,,,Live Run SVT Direct Debit 
